?   	github.com/eldius/initial-config-go/configs	[no test files]
?   	github.com/eldius/initial-config-go/logs	[no test files]
goos: linux
goarch: amd64
pkg: github.com/eldius/initial-config-go/setup
cpu: 12th Gen Intel(R) Core(TM) i7-12700H
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	  953554	      1144 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1000000	      1140 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	  958088	      1154 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	  899968	      1115 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1000000	      1110 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	  992160	      1112 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1000000	      1144 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1000000	      1119 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	  971655	      1121 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1000000	      1160 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1056572	      1139 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1000000	      1133 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1000000	      1127 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	  988303	      1121 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1000000	      1132 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1000000	      1132 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1000000	      1118 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1000000	      1121 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1000000	      1151 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_no_keys_to_redact-20         	 1000000	      1114 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_1_key_to_redact-20           	  970405	      1191 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_1_key_to_redact-20           	 1000000	      1158 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_1_key_to_redact-20           	  995404	      1166 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_1_key_to_redact-20           	 1000000	      1157 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_1_key_to_redact-20           	  991762	      1178 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_1_key_to_redact-20           	  883008	      1175 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_1_key_to_redact-20           	 1032336	      1214 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_1_key_to_redact-20           	  900511	      1207 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_1_key_to_redact-20           	  958509	      1181 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_1_key_to_redact-20           	  962943	      1162 ns/op	     912 B/op	      15 allocs/op
